Code;Description;Transaction Category Code;MCC Category
"3729";John Ascuaga’s Nugget;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3730";MGM Grand Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3731";Harrah’s Hotels and Casinos;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3732";Opryland Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3734";Harvey/Bristol Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3735";Master Economy Inns;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3736";Colorado Belle/Edgewater Resort;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3737";Riviera Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3738";Tropicana Resort & Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3739";Woodside Hotels & Resorts;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3740";Towneplace Suites;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3741";Millennium Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3742";CLUB MED;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3743";BILTMORE HOTEL AND SUITES;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3744";Carefree Resorts;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3745";St. Regis Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3746";The Eliot Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3747";ClubCorp/ClubResorts;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3748";Wellesley Inns;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3749";The Beverly Hills Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3750";Crown Plaza Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3751";Homewood Suites;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3752";Peabody Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3753";Greenbriar Resorts;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3754";Amelia Island Plantation;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3755";The Homestead;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3756";SOUTH SEAS RESORTS;Hotel/Motel;Lodging — Hotels, Motels, Resorts
